"Group.1","Group.2","tBodyAcc-mean()-X","tBodyAcc-mean()-Y","tBodyAcc-mean()-Z","tBodyAcc-std()-X","tBodyAcc-std()-Y","tBodyAcc-std()-Z","tGravityAcc-mean()-X","tGravityAcc-mean()-Y","tGravityAcc-mean()-Z","tGravityAcc-std()-X","tGravityAcc-std()-Y","tGravityAcc-std()-Z","tBodyAccJerk-mean()-X","tBodyAccJerk-mean()-Y","tBodyAccJerk-mean()-Z","tBodyAccJerk-std()-X","tBodyAccJerk-std()-Y","tBodyAccJerk-std()-Z","tBodyGyro-mean()-X","tBodyGyro-mean()-Y","tBodyGyro-mean()-Z","tBodyGyro-std()-X","tBodyGyro-std()-Y","tBodyGyro-std()-Z","tBodyGyroJerk-mean()-X","tBodyGyroJerk-mean()-Y","tBodyGyroJerk-mean()-Z","tBodyGyroJerk-std()-X","tBodyGyroJerk-std()-Y","tBodyGyroJerk-std()-Z","tBodyAccMag-mean()","tBodyAccMag-std()","tGravityAccMag-mean()","tGravityAccMag-std()","tBodyAccJerkMag-mean()","tBodyAccJerkMag-std()","tBodyGyroMag-mean()","tBodyGyroMag-std()","tBodyGyroJerkMag-mean()","tBodyGyroJerkMag-std()","fBodyAcc-mean()-X","fBodyAcc-mean()-Y","fBodyAcc-mean()-Z","fBodyAcc-std()-X","fBodyAcc-std()-Y","fBodyAcc-std()-Z","fBodyAccJerk-mean()-X","fBodyAccJerk-std()-Z","fBodyAccJerk-meanFreq()-X","fBodyAccJerk-meanFreq()-Y","fBodyAccJerk-meanFreq()-Z","fBodyGyro-mean()-X","fBodyGyro-mean()-Y","fBodyGyro-mean()-Z","fBodyGyro-std()-X","fBodyGyro-std()-Y","fBodyGyro-std()-Z","fBodyGyro-meanFreq()-X","fBodyGyro-meanFreq()-Y","fBodyGyro-meanFreq()-Z","fBodyAccMag-mean()","fBodyAccMag-std()","fBodyAccMag-meanFreq()","fBodyBodyAccJerkMag-mean()","fBodyBodyAccJerkMag-std()","fBodyBodyGyroMag-mean()","fBodyBodyGyroMag-std()","fBodyBodyGyroMag-meanFreq()","fBodyBodyGyroJerkMag-mean()","fBodyBodyGyroJerkMag-std()","angle(tBodyAccMean,gravity)","angle(tBodyAccJerkMean),gravityMean)","angle(tBodyGyroMean,gravityMean)","angle(tBodyGyroJerkMean,gravityMean)","angle(X,gravityMean)","angle(Y,gravityMean)","angle(Z,gravityMean)","subject","activity","activityDescr"
1,1,0.277330758736842,-0.0173838185273684,-0.111148103547368,-0.283740258842105,0.114461336747368,-0.260027902210526,0.935223201473684,-0.282165021263158,-0.068102864,-0.976609642526316,-0.971305961473684,-0.947717226105263,0.0740416333157895,0.0282721095884211,-0.00416840617789474,-0.113615602435789,0.0670025007684211,-0.502699788526316,-0.041830963526,-0.0695300462115789,0.0849448173042105,-0.473535485894737,-0.0546077686594737,-0.344266629473684,-0.0899975423705263,-0.0398428709463158,-0.0461309295021053,-0.207421854757895,-0.304468510631579,-0.404255452631579,-0.136971176556842,-0.219688645631579,-0.136971176556842,-0.219688645631579,-0.141428809031579,-0.0744717500625263,-0.160979552536842,-0.186978364526316,-0.298703679084211,-0.325324878894737,-0.202794306326316,0.0897127264021053,-0.331560117789474,-0.319134719578947,0.056040006846,-0.279686751494737,-0.170546964549579,-0.534713440421053,-0.209261973376842,-0.386237143210526,-0.185530281244211,-0.339032197115789,-0.103059416434737,-0.255940940315789,-0.516691938736842,-0.0335081597884211,-0.436562227473684,0.0147844986621053,-0.0657746190010526,0.00077332156431579,-0.128623450629474,-0.398032586842105,0.1906437244,-0.0571194000343158,-0.103492403002105,-0.199252568986316,-0.321017953894737,0.268844367525895,-0.319308593778947,-0.381601911789474,0.0604537474147368,-0.00793037848421052,0.0130594907157895,-0.0187431910452632,-0.729247201052632,0.276953023473684,0.0688589119894737,1,1,walking
2,1,0.255461689622641,-0.0239531492643396,-0.0973020020943396,-0.35470802509434,-0.00232026501698113,-0.0194792388471698,0.89335109754717,-0.362153364339623,-0.075402939754717,-0.956367027924528,-0.952849233207547,-0.912379410377358,0.101372729922642,0.0194863076188679,-0.0455625449113208,-0.446843887735849,-0.378274426037736,-0.706593530943396,0.050549379754717,-0.166170015088679,0.0583595463981132,-0.544871104528302,0.00410518379811321,-0.50716867490566,-0.122232768011321,-0.0421485884509434,-0.0407125527654717,-0.614786508490566,-0.601696656226415,-0.606332002264151,-0.129927630735849,-0.324970929245283,-0.129927630735849,-0.324970929245283,-0.466503446226415,-0.478991622075472,-0.126735589969811,-0.14861931805283,-0.59488286509434,-0.648553044339623,-0.404321784150943,-0.190976720811321,-0.433349702075472,-0.337428188679245,0.0217695106566038,0.0859565543849057,-0.479875245660377,-0.726040200754717,-0.377023128301887,-0.509495531698113,-0.551104284150943,-0.492611667924528,-0.319474609056604,-0.453597213018868,-0.565892490754717,0.151538905566038,-0.57170784,-0.187450247737736,-0.473574786603774,-0.133373904258491,-0.352395944716981,-0.416260101509434,-0.0977433496415094,-0.44265216245283,-0.533059853773585,-0.325961457396226,-0.182985518264151,-0.219303376110566,-0.634665082075472,-0.693930521509434,0.0960860761792453,-0.0610838413018868,-0.194699963113208,0.0656835692641509,-0.647195664339623,0.334763277358491,0.0741663682075472,1,2,walking_upstairs
3,1,0.289188320408163,-0.00991850461020408,-0.107566190908163,0.0300353383483878,-0.0319359434489796,-0.230434213204082,0.931874418979592,-0.266610338979592,-0.0621199585938775,-0.950559811632653,-0.937018658979592,-0.895939695102041,0.0541553164897959,0.0296504490408163,-0.0109719730183673,-0.012283860544898,-0.101601390640816,-0.345735032326531,-0.0350781902989796,-0.0909371290204082,0.0900850142030612,-0.458030542938775,-0.126349194938775,-0.124702454242857,-0.0739592036271429,-0.0439902783367347,-0.0270461061061224,-0.487027342244898,-0.238824827530612,-0.268761480242857,0.0271882914106122,0.0198843506265306,0.0271882914106122,0.0198843506265306,-0.0894474807979592,-0.0257877197081633,-0.0757412543673469,-0.225724368061224,-0.295463843346939,-0.306510645530612,0.0382291831510204,0.00154990783591837,-0.225574471693878,0.0243308391387755,-0.112963739953061,-0.297927894693878,-0.0276638676122449,-0.401721464285714,-0.253164344918367,-0.33758970122449,0.00937223889183673,-0.352449631363265,-0.0557022524693878,-0.0318694271979592,-0.495422486102041,-0.181414728657143,-0.238443565306122,-0.100453729040816,0.0825511487183673,-0.0756762067714286,0.0965845343040816,-0.186530301073469,0.119187142767959,0.0262184949326531,-0.104052260726531,-0.185720285744898,-0.398350390122449,0.349613895469388,-0.281963359177551,-0.391919876612245,-0.00269512515918367,0.0899316865510204,0.0633382849183673,-0.0399768458163265,-0.744483753469388,0.267245784693878,0.0650047072244898,1,3,walking_downstairs
4,1,0.261237565425532,-0.00130828765170213,-0.104544182255319,-0.977229008297872,-0.922618641914894,-0.93958629106383,0.831509933404255,0.204411592680851,0.332043702765957,-0.968457145744681,-0.935517055957447,-0.949040933191489,0.0774825199574468,-0.000619102785106384,-0.00336779235021277,-0.986430711276596,-0.981371965319149,-0.987910804468085,-0.045350056512766,-0.0919241549361702,0.0629313811914894,-0.977211283191489,-0.966473895319149,-0.941425920851064,-0.0936793807234043,-0.0402118124255319,-0.046702627,-0.99173159212766,-0.989518068510638,-0.987935806382979,-0.948536786170213,-0.927078418723404,-0.948536786170213,-0.927078418723404,-0.987364195531915,-0.984120024042553,-0.93089249,-0.934531840425532,-0.991976341276596,-0.988308728510638,-0.979641238723404,-0.944084550425532,-0.959184889148936,-0.976412313191489,-0.917275006382979,-0.934469558085106,-0.986597022553191,-0.988339184893617,0.256610823568085,0.0475437839595745,0.0923920032553192,-0.976161464042553,-0.975838585319149,-0.951315544468085,-0.977904227021277,-0.962345042553192,-0.94391784106383,0.189153021260851,0.0631270669787234,-0.0297839207446809,-0.947782922553192,-0.928444801702128,0.236655011680851,-0.985262126808511,-0.981606177446808,-0.958435589361702,-0.932198374893617,-0.000262186717021277,-0.989797547234043,-0.987049617234043,0.0274415479191489,0.0297097878297872,0.0676981338723404,-0.064881619087234,-0.591247480212766,-0.0604660253808511,-0.218017225106383,1,4,sitting
5,1,0.278927221346154,-0.0161323405288462,-0.1103533875,-0.995712105769231,-0.973149476346154,-0.980149990192308,0.942497978653846,-0.275511381538462,0.0116465779442308,-0.993692824423077,-0.981067853076923,-0.977183397884615,0.0754029993269231,0.00801812759807692,-0.00432105498069231,-0.994586396153846,-0.9857369075,-0.992258975,-0.0241391985440385,-0.0589261333653846,0.0743049137115385,-0.987270254038462,-0.987709221538462,-0.980482634615385,-0.0993997202692308,-0.0440482504230769,-0.0487526183,-0.993004194423077,-0.995096481153846,-0.992074956923077,-0.984374150769231,-0.982056118461539,-0.984374150769231,-0.982056118461539,-0.992389219423077,-0.993123167115385,-0.976413228461538,-0.978592640961538,-0.994963782692308,-0.994706923269231,-0.995207609807692,-0.977075061538462,-0.98552353,-0.995977346730769,-0.972242396153846,-0.978369935576923,-0.994623077692308,-0.992344491153846,0.308522736692308,0.0409472321961539,0.140032117417308,-0.986559864423077,-0.988916271730769,-0.980603264038462,-0.98754699,-0.987106567307692,-0.982202265576923,-0.121680051096154,-0.0378559533519231,0.103853519065385,-0.985442894615385,-0.982437805576923,0.290876544192308,-0.992584919615385,-0.992547074807692,-0.984546894038462,-0.978372690384615,-0.0239259131584615,-0.994795406153846,-0.994637885769231,-0.00125501951153846,0.0225291355519231,-0.0203547541307692,-0.0419889614692308,-0.741458278076923,0.2719036125,0.0135330343653846,1,5,standing
6,1,0.22159824394,-0.0405139534294,-0.11320355358,-0.9280564692,-0.83682740562,-0.826061401628,-0.24888179828,0.70554977346,0.4458177198,-0.8968300184,-0.90772000676,-0.85236629022,0.0810865342,0.0038382040088,0.010834236361,-0.958482112,-0.9241492736,-0.9548551108,-0.016553093978,-0.064486124088,0.14868943626,-0.87354386782,-0.9510904402,-0.9082846626,-0.107270949192,-0.04151728689,-0.0740501211,-0.9186085208,-0.9679072436,-0.9577901596,-0.8419291525,-0.79514486386,-0.8419291525,-0.79514486386,-0.9543962646,-0.9282456284,-0.874759548,-0.81901016976,-0.96346103,-0.9358409828,-0.9390990524,-0.86706520518,-0.8826668762,-0.9244374346,-0.8336255561,-0.81289155944,-0.9570738838,-0.9605869872,0.132419092398,0.024513618956,0.02438794528,-0.850249174586,-0.9521914948,-0.909302721,-0.8822964508,-0.9512320494,-0.9165825082,-0.003546795856,-0.091529130882,0.01045812566,-0.8617676481,-0.7983009404,0.08640856294,-0.9333003608,-0.9218039756,-0.8621901854,-0.82431943968,-0.1397750127,-0.9423669466,-0.9326606676,0.0213659655642,0.00306040735,-0.001666984698,0.08443716468,0.4267062264,-0.52034381798,-0.35241310896,1,6,laying
1,2,0.277088800847458,-0.0187498794925424,-0.105640646322034,-0.440628447457627,-0.107399885311864,-0.443611368135593,0.867757177627119,-0.308205951694915,0.102770143169492,-0.972922046779661,-0.972724927966102,-0.972246642372881,0.0568524201025424,0.0180730928372881,0.0056343537440678,-0.301225534654237,-0.0483793179288136,-0.598316408813559,-0.0531610902601695,-0.0481202287457627,0.0826145082542373,-0.574625390847458,-0.552365335084746,-0.495473005423729,-0.088039770440678,-0.0507730299237288,-0.0496386044966102,-0.406449347627119,-0.646016705084746,-0.451551815762712,-0.312045814576271,-0.440927832372881,-0.312045814576271,-0.440927832372881,-0.303342420830508,-0.193569402991525,-0.462560042033898,-0.566188709661017,-0.561150452542373,-0.571925461186441,-0.366871287118644,-0.0525455860271186,-0.469892786610169,-0.472922940508475,-0.195899886372881,-0.473335928305085,-0.328090225254237,-0.627580511864407,-0.0681332617191525,-0.242341721237288,-0.240701887416949,-0.447349037118644,-0.568677866949153,-0.414800123220339,-0.615637302711864,-0.546802048474576,-0.571482563728814,0.00883544371525424,-0.0476756621016949,0.136760794218644,-0.345428273864407,-0.590874566610169,0.386809688135593,-0.197408970101695,-0.194500219533898,-0.544605271525424,-0.66200508661017,0.290831459220339,-0.596330831355932,-0.572537346779661,-0.0433976105084746,0.0759389493898305,0.0431475606711864,-0.0431886410508475,-0.620916960847458,0.291729273898305,-0.0509717084288136,2,1,walking
2,2,0.247317622270833,-0.02060422812125,-0.153977710875,-0.288349896333333,0.11841938043125,-0.113892026220833,0.794425778958333,-0.412595915,-0.190511211141667,-0.933367702708333,-0.922168352708333,-0.877042411041667,0.074338086040625,0.00447555198166667,0.0205268002083333,-0.2608103945625,-0.168424341054167,-0.568644706875,-0.0252016278333333,-0.05836060890625,0.0492109246666667,-0.433555934166667,-0.464103333541667,-0.164466727783333,-0.0804874982583333,-0.0325163010125,-0.0363731669541667,-0.4530847345625,-0.637098005,-0.456289371166667,-0.0970699739375,-0.1886838525875,-0.0970699739375,-0.1886838525875,-0.306128181041667,-0.205679126935417,-0.2166450656875,-0.3763486084375,-0.563177255,-0.589592709583333,-0.254445284770833,0.0230612400477083,-0.27721180999375,-0.303014052895833,0.0931313005458333,-0.0990175803895833,-0.245132851604167,-0.622453003958333,-0.0521811118541667,-0.283957709541667,-0.362873418333333,-0.3230039671875,-0.482628010625,-0.243041431104167,-0.471569328125,-0.460003012291667,-0.2209709885625,-0.120609065025,-0.112886319425,-0.0738663914583333,-0.12789064346875,-0.352161621752083,0.106619893541667,-0.176076196797917,-0.251047697479167,-0.447153476875,-0.439471429375,-0.0149305252672917,-0.5938423025,-0.613768452666667,0.0980707193166667,-0.000437114875000006,-0.0630356060416667,-0.059661960625,-0.484070872083333,0.371281939791667,0.161028915776042,2,2,walking_upstairs
3,2,0.277845430617021,-0.0223102570680851,-0.116520217851064,0.0222503547212766,0.244558988057447,-0.118738646361702,0.865076714042553,-0.327603099787234,-0.0336940374851064,-0.941373723617021,-0.941954421276596,-0.933049775744681,0.110150054931277,-0.00383853360212766,-0.0107142879468085,0.124626994089362,0.116400561259574,-0.351437526808511,-0.132825384297872,0.00678901342553192,0.102275019885106,-0.330314296391489,-0.421314961702128,-0.291495701021277,-0.0466836132765957,-0.0536380227106383,-0.0711419439021277,-0.262205387468085,-0.480804303659574,-0.236214633159574,0.0687989960297872,0.187392898080851,0.0687989960297872,0.187392898080851,-0.0142875840957447,0.21665192606383,-0.178142025419787,-0.284233295212766,-0.425306841489362,-0.355332631148936,0.093229956112766,0.260812660829787,-0.147839263914894,-0.00998920845957447,0.154369433595745,-0.176328367691489,0.116692037682979,-0.41626688212766,-0.14628283993617,-0.356690763234043,-0.239924925212766,-0.160475791746809,-0.371923611021277,-0.1042312868,-0.387224190319149,-0.461114454893617,-0.431988748085106,-0.0356049947659574,0.0582119029574468,0.126876043974468,0.26490652552766,-0.0452019780851064,0.103071961910638,0.205568356385106,0.219358711521277,-0.330992643340426,-0.379715005787234,0.102024769365957,-0.391629733510638,-0.355805214617021,-0.0127484820574468,-0.0152834881914894,0.39629391,-0.12550041986383,-0.62863148787234,0.312908500212766,0.0464332273489362,2,3,walking_downstairs
4,2,0.277310334782609,-0.0153677742608696,-0.109197010913043,-0.986625811956522,-0.950372250652174,-0.960371275,0.937612499782609,-0.117089465150957,0.197068432326087,-0.979638171086956,-0.956116096956522,-0.954894742391304,0.0721006961956522,0.0123401056193478,0.00919417430521739,-0.988094886086957,-0.97805862173913,-0.987367239782609,-0.0457490607391304,-0.0591339783565217,0.0406901751086957,-0.984563499347826,-0.978677946521739,-0.959285835217391,-0.0956000779782609,-0.0413125967173913,-0.04339201365,-0.98916233826087,-0.99068377673913,-0.985584850652174,-0.967893897391304,-0.95289518,-0.967893897391304,-0.95289518,-0.986793428913043,-0.984316500652174,-0.945715025,-0.95957222326087,-0.990945437608696,-0.989164188695652,-0.985599142608696,-0.957342509782609,-0.97010651173913,-0.987174095217391,-0.949595135217391,-0.957725098043478,-0.987865605217391,-0.98848780673913,0.306024062323913,0.0204388553656522,0.0914014596608696,-0.98087037673913,-0.981756886521739,-0.95945492,-0.985831389130435,-0.977166389130435,-0.962992688478261,0.140100402608696,-0.183941121282609,0.044676698911087,-0.961064078913043,-0.955436330434783,0.135429785941304,-0.983706268695652,-0.983967981086956,-0.97028897826087,-0.959825300652174,-0.101701424695652,-0.989459769782609,-0.989199614565217,0.0414662325078478,-0.0111174345043478,0.0544904510652174,-0.0390411700826087,-0.765870897608696,0.163778941130435,-0.117003510395652,2,4,sitting
